Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
a810b3cd-a8fa-0288-5f7c-c6347674d155,2023-01-21,,999-28-3771,,,,Josh874,Hassan290,King743,,,,asian,nonhispanic,M,Wenham  Massachusetts  US,647 Harris Burg,Wellesley,Massachusetts,Norfolk County,25021,02457,42.29645344542202,-71.26513534776268,6370.95,0.00,251378
aa59ccda-f100-6d3a-9735-a9d61e1fbae1,2014-02-22,,999-47-3154,,,,Violette536,Hettie215,Jones311,,,,white,nonhispanic,F,Medford  Massachusetts  US,817 Boyer Dam,Chicopee,Massachusetts,Hampden County,25013,01020,42.17533487228934,-72.60301505562556,1546.96,37530.34,16586
6bb306f5-8ddf-6ce9-d504-5ec40385aee1,1973-01-04,,999-97-3347,S99947865,X69812505X,Mr.,Carlos172,,Kiehn525,,,D,asian,nonhispanic,M,Marion  Massachusetts  US,729 Bahringer Alley,Natick,Massachusetts,Middlesex County,,00000,42.24521506074874,-71.39460833006689,120292.92,20563.28,853865
a438167e-e1a2-079b-7707-3ba6b6bd5200,1957-02-16,,999-23-3986,S99912795,X17191035X,Mr.,Craig656,Hilton264,Hagenes547,,,M,white,nonhispanic,M,Boston  Massachusetts  US,541 Goodwin Dale,Hanson,Massachusetts,Plymouth County,25023,02341,42.00248308956431,-70.8190264127179,196576.56,69716.15,133330
e18295b7-25c7-25f3-45c9-6e473e3df7a6,2013-09-17,,999-94-4650,,,,Lauren941,Shawn523,Blick895,,,,white,nonhispanic,M,Boxford  Massachusetts  US,1028 Block Plaza,Leominster,Massachusetts,Worcester County,25027,01420,42.596735997224044,-71.78906558084641,12744.77,21291.07,60871
edab9d54-05b1-532a-22de-46c6f0333f31,2006-04-14,,999-65-9904,S99974509,,Ms.,Zora492,,Moore224,,,,white,nonhispanic,F,Springfield  Massachusetts  US,180 Zulauf Village Apt 44,Winchester,Massachusetts,Middlesex County,25017,01890,42.49006090355243,-71.1457738122711,67921.39,249828.87,26572
31f3680f-8d89-baa2-a032-b1eab4be10e6,1957-07-22,,999-98-6713,S99963881,X15988574X,Mr.,Filiberto722,,Hagenes547,,,M,white,nonhispanic,M,Boston  Massachusetts  US,537 Hyatt Branch Apt 0,Watertown,Massachusetts,Middlesex County,25017,02472,42.334045443649146,-71.19471511543478,172048.92,38293.32,57433
69f622a3-2947-438e-8f85-e60382acb433,1981-01-10,,999-69-3765,S99943619,X74763989X,Mrs.,Yuk263,Wendolyn786,Schamberger479,,Hintz995,M,asian,nonhispanic,F,Haverhill  Massachusetts  US,423 Bosco Walk Unit 6,Somerville,Massachusetts,Middlesex County,25017,02138,42.414790382243545,-71.14680215844281,185529.83,919942.97,844796
3e8f31e0-f428-8ee5-9353-4255285cea13,1955-09-13,2011-04-04,999-41-3257,S99979551,X68169222X,Mrs.,Joe656,Deedra511,McLaughlin530,,Feil794,D,white,nonhispanic,F,Sudbury  Massachusetts  US,332 Swaniawski Mall Apt 82,Newton,Massachusetts,Middlesex County,25017,02466,42.30882287439051,-71.18836238449713,230177.99,679422.44,665437
7cf370d9-33a8-30a9-b4db-c68cef15bc9b,1974-10-13,,999-61-9369,S99986986,X45906469X,Ms.,Faustina753,Mina319,Daniel959,,,S,white,nonhispanic,F,Waltham  Massachusetts  US,877 Hammes Rapid Unit 32,Foxborough,Massachusetts,Norfolk County,25021,02035,42.099507180631804,-71.20431379439991,56759.95,823243.43,124128
